ID,Match #,Team,G#,R#,A/D,Map,Type,W/L,Rank,Bet%,Against,EnR,P1,KDS1,P1 Picks,P2,KDS2,P2 Picks,P3,KDS3,P3 Picks,P4,KDS4,P4 Picks,P5,KDS5,P5 Picks,P6,KDS6,P6 Picks,VOD URL
2111,2,LuxuryWatch BLUE,1,1,N/A,Ilios,Control,Loss,55,32,MisfitsGG,5,Fl0w3r-Nanohana,4|5|0,"Zarya, McCree",Gambler,1|4|0,Lucio,OWLuna,2|5|0,Ana,janus,4|5|0,Reinhardt,Mek0,4|4|0,D.Va,Saebyeolbe,4|5|0,"Tracer, Soldier:76, Roadhog",https|//youtu.be/ZchCK9xZb2I?t=14m41s
2121,2,LuxuryWatch BLUE,1,2,N/A,Ilios,Control,Win,55,32,MisfitsGG,5,Fl0w3r-Nanohana,5|4|0,Soldier:76,Gambler,2|0|0,Lucio,OWLuna,1|4|0,Ana,janus,4|3|0,Reinhardt,Mek0,10|2|0,"Zarya, D.Va",Saebyeolbe,5|1|0,"Roadhog, Tracer",https|//youtu.be/ZchCK9xZb2I?t=21m5s
2131,2,LuxuryWatch BLUE,1,3,N/A,Ilios,Control,Win,55,32,MisfitsGG,5,Fl0w3r-Nanohana,5|5|0,"Soldier:76, Tracer",Gambler,1|2|0,Lucio,OWLuna,0|3|0,Ana,janus,2|2|0,Reinhardt,Mek0,10|2|0,D.Va,Saebyeolbe,10|2|0,Roadhog,https|//youtu.be/ZchCK9xZb2I?t=27m3s
2112,2,MisfitsGG,1,1,N/A,Ilios,Control,Win,5,68,LuxuryWatch BLUE,55,Mannetens,6|1|0,Tracer,NevixOW,2|2|0,"Mercy, Ana",Zave,2|4|0,Lucio,TviQ,9|4|0,Genji,Zebbosai,4|3|1,"Pharah, D.Va",Reinforce,5|5|0,Winston,https|//youtu.be/ZchCK9xZb2I?t=14m41s
2122,2,MisfitsGG,1,2,N/A,Ilios,Control,Loss,5,68,LuxuryWatch BLUE,55,Mannetens,6|5|0,Tracer,NevixOW,0|5|0,"Mercy, Zenyatta",Zave,3|4|0,Lucio,TviQ,1|3|0,"Widowmaker, Genji",Zebbosai,4|5|0,"Pharah, Reaper, Zarya",Reinforce,0|5|0,"Winston, D.Va",https|//youtu.be/ZchCK9xZb2I?t=21m5s
2132,2,MisfitsGG,1,3,N/A,Ilios,Control,Loss,5,68,LuxuryWatch BLUE,55,Mannetens,2|6|0,Tracer,NevixOW,0|5|0,"Mercy, Ana",Zave,2|3|1,Lucio,TviQ,3|5|0,Genji,Zebbosai,7|6|0,"Pharah, Soldier:76",Reinforce,2|4|0,"Winston, D.Va",https|//youtu.be/ZchCK9xZb2I?t=27m3s
2211,2,LuxuryWatch BLUE,2,1,D,Holly,Hybrid,1/3CP,55,32,MisfitsGG,5,Fl0w3r-Nanohana,13|4|1,"Soldier:76, McCree",Gambler,2|4|0,"Symmetra, Lucio",OWLuna,1|5|0,Ana,janus,3|5|0,Reinhardt,Mek0,7|4|0,D.Va,Saebyeolbe,8|6|0,Roadhog,https|//youtu.be/ZchCK9xZb2I?t=44m54s
2221,2,LuxuryWatch BLUE,2,2,A,Holly,Hybrid,2/3CP,55,32,MisfitsGG,5,Fl0w3r-Nanohana,10|6|0,"Genji, Soldier:76",Gambler,0|2|0,Lucio,OWLuna,2|6|0,"Zenyatta, Ana",janus,5|4|0,"Winston, Reinhardt",Mek0,9|1|0,D.Va,Saebyeolbe,5|6|0,"Tracer, Roadhog, Bastion",https|//youtu.be/ZchCK9xZb2I?t=55m1s
2212,2,MisfitsGG,2,1,A,Holly,Hybrid,2/3CP,5,68,LuxuryWatch BLUE,55,Mannetens,5|5|0,Roadhog,NevixOW,1|7|0,Ana,Zave,1|5|0,Lucio,TviQ,8|7|0,"Hanzo, Tracer",Zebbosai,10|5|0,Zarya,Reinforce,1|5|0,Reinhardt,https|//youtu.be/ZchCK9xZb2I?t=44m54s
2222,2,MisfitsGG,2,2,D,Holly,Hybrid,1/3CP,5,68,LuxuryWatch BLUE,55,Mannetens,8|4|0,"Reaper, Tracer, Roadhog",NevixOW,0|6|0,Ana,Zave,3|4|0,Lucio,TviQ,11|2|1,Soldier:76,Zebbosai,2|7|0,"Zarya, D.Va",Reinforce,1|8|0,Reinhardt,https|//youtu.be/ZchCK9xZb2I?t=55m1s
