ID,Match #,Team,G#,R#,A/D,Map,Type,W/L,Rank,Bet%,Against,EnR,P1,KDS1,P1 Picks,P2,KDS2,P2 Picks,P3,KDS3,P3 Picks,P4,KDS4,P4 Picks,P5,KDS5,P5 Picks,P6,KDS6,P6 Picks,VOD URL,,,,,
3111,3,CONBOX Spirit,1,1,N/A,Ilios,Control,Win,142,23,Cloud9.gg,2,Gamsu,6|3|0,Reinhardt,twilight,4|2|0,Ana,Liz.,6|1|0,Soldier:76,Oparochi,2|1|0,Lucio,MyungHoon 명훈,2|2|0,D.Va,SleepyBearOW,2|3|0,Roadhog,https|//youtu.be/IP3fAiMs5X0?t=21m22s,,,,,
3121,3,CONBOX Spirit,1,2,N/A,Ilios,Control,Win,142,23,Cloud9.gg,2,Gamsu,0|3|0,Reinhardt,twilight,2|3|0,Ana,Liz.,4|1|0,Reaper,Oparochi,3|1|0,Lucio,MyungHoon 명훈,2|0|0,D.Va,SleepyBearOW,8|1|0,Roadhog,https|//youtu.be/IP3fAiMs5X0?t=28m7s,,,,,
3112,3,Cloud9.gg,1,1,N/A,Ilios,Control,Loss,2,77,CONBOX Spirit,142,Gods,3|4|0,Roadhog,Mendokusaii,2|3|0,Zarya,Adam,2|3|0,Lucio,Surefour,1|4|0,"McCree, D.Va",ryb,4|3|0,Reinhardt,Roolf,0|5|0,Ana,https|//youtu.be/IP3fAiMs5X0?t=21m22s,,,,,
3122,3,Cloud9.gg,1,2,N/A,Ilios,Control,Loss,2,77,CONBOX Spirit,142,Gods,0|3|0,Zarya,Mendokusaii,1|4|0,Genji,Adam,1|2|0,Lucio,Surefour,5|4|0,"Tracer, Pharah",ryb,1|5|0,Reinhardt,Roolf,1|2|0,Ana,https|//youtu.be/IP3fAiMs5X0?t=28m7s,,,,,
3211,3,CONBOX Spirit,2,1,D,Holly,Hybrid,0/3CP,142,23,Cloud9.gg,2,Gamsu,2|5|0,Reinhardt,twilight,1|7|0,Ana,Liz.,5|7|0,"Soldier:76, Reaper, Soldier:76",Oparochi,0|4|0,Lucio,MyungHoon 명훈,3|5|0,D.Va,SleepyBearOW,8|4|0,Roadhog,https|//youtu.be/IP3fAiMs5X0?t=35m15s,,,,,
3221,3,CONBOX Spirit,2,2,A,Holly,Hybrid,0/3CP,142,23,Cloud9.gg,2,Gamsu,1|5|0,Reinhardt,twilight,0|4|0,Ana,Liz.,4|4|0,"Soldier:76, Reaper, Tracer",Oparochi,0|1|0,Lucio,MyungHoon 명훈,0|2|0,D.Va,SleepyBearOW,2|2|0,Roadhog,https|//youtu.be/IP3fAiMs5X0?t=44m29s,,,,,
3212,3,Cloud9.gg,2,1,A,Holly,Hybrid,3/3CP,2,77,CONBOX Spirit,142,Gods,7|4|0,Roadhog,Mendokusaii,10|3|0,"Tracer, Soldier:76",Adam,2|2|0,Lucio,Surefour,2|4|0,Zarya,ryb,9|4|0,Reinhardt,Roolf,2|2|0,Ana,https|//youtu.be/IP3fAiMs5X0?t=35m15s,,,,,
3222,3,Cloud9.gg,2,2,D,Holly,Hybrid,3/3CP,2,77,CONBOX Spirit,142,Gods,6|2|0,Roadhog,Mendokusaii,1|3|0,Soldier:76,Adam,1|1|0,Symmatra,Surefour,5|0|0,Zarya,ryb,3|1|0,Reinhardt,Roolf,2|0|0,Ana,https|//youtu.be/IP3fAiMs5X0?t=44m29s,,,,,
3311,3,CONBOX Spirit,3,1,A,Hana,Assault,0/2CP,142,23,Cloud9.gg,2,Gamsu,0|4|0,Reinhardt,twilight,0|4|0,Ana,Liz.,0|3|1,"Soldier:76, Mei",Oparochi,0|6|0,"Zenyatta, Lucio",MyungHoon 명훈,0|3|0,"D.Va, Reaper",SleepyBearOW,1|3|0,Roadhog,https|//youtu.be/gEAwwJATEK0?t=2m50s,,,,,
3321,3,CONBOX Spirit,3,2,D,Hana,Assault,0/1CP,142,23,Cloud9.gg,2,Gamsu,0|1|0,Reinhardt,twilight,0|1|0,Ana,Liz.,1|1|0,Soldier:76,Oparochi,0|1|0,Lucio,MyungHoon 명훈,0|1|0,D.Va,SleepyBearOW,0|1|0,Zarya,https|//youtu.be/gEAwwJATEK0?t=9m50s,,,,,
