KF_ID,Match,Game,Round,Player 1,Character 1,Killed,Player 2,Character 2,Map,Level/Attack,,,,,,,,,
KF-1,1,1,1,cocco,Reinhardt,Killed,Brek,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-2,1,1,1,-,-,Suicide,OneFact,Tracer,Ilios,Ruins,,,,,,,,,
KF-3,1,1,1,EasyBro,Genji,Killed,harryhook,Soldier:76,Ilios,Ruins,,,,,,,,,
KF-4,1,1,1,Mickie,D.Va,Killed,WhyNot,Zarya,Ilios,Ruins,,,,,,,,,
KF-5,1,1,1,cocco,Reinhardt,Killed,Brek,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-6,1,1,1,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Ruins,,,,,,,,,
KF-7,1,1,1,OneFact,Tracer,Killed,Taimou,Roadhog,Ilios,Ruins,,,,,,,,,
KF-8,1,1,1,Mickie,D.Va,Killed,Undine,Lucio,Ilios,Ruins,,,,,,,,,
KF-9,1,1,1,EasyBro,Genji,Killed,INTERNETHULK,Lucio,Ilios,Ruins,,,,,,,,,
KF-10,1,1,1,harryhook,Soldier:76,Killed,OneFact,Tracer,Ilios,Ruins,,,,,,,,,
KF-11,1,1,1,sylph,Ana,Killed,Taimou,McCree,Ilios,Ruins,,,,,,,,,
KF-12,1,1,1,OneFact,Tracer,Killed,cocco,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-13,1,1,1,sylph,Ana,Killed,chipshajen,Ana,Ilios,Ruins,,,,,,,,,
KF-14,1,1,1,harryhook,Soldier:76,Killed,EasyBro,Genji,Ilios,Ruins,,,,,,,,,
KF-15,1,1,1,WhyNot,Zarya,Killed,INTERNETHULK,Lucio,Ilios,Ruins,,,,,,,,,
KF-16,1,1,1,sylph,Ana,Killed,Mickie,D.Va,Ilios,Ruins,,,,,,,,,
KF-17,1,1,1,OneFact,Tracer,Killed,harryhook,Soldier:76,Ilios,Ruins,,,,,,,,,
KF-18,1,1,1,Taimou,McCree,Killed,Brek,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-19,1,1,1,cocco,Reinhardt,Killed,sylph,Ana,Ilios,Ruins,,,,,,,,,
KF-20,1,1,1,OneFact,Tracer,Killed,Taimou,McCree,Ilios,Ruins,,,,,,,,,
KF-21,1,1,1,EasyBro,Genji,Killed,INTERNETHULK,Lucio,Ilios,Ruins,,,,,,,,,
KF-22,1,1,1,WhyNot,Zarya,Killed,harryhook,Soldier:76,Ilios,Ruins,,,,,,,,,
KF-23,1,1,1,Mickie,D.Va,Killed,EasyBro,Genji,Ilios,Ruins,,,,,,,,,
KF-24,1,1,1,Undine,Lucio,Killed,cocco,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-25,1,1,1,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Ruins,,,,,,,,,
KF-26,1,1,1,WhyNot,Zarya,Killed,Mickie,D.Va,Ilios,Ruins,,,,,,,,,
KF-27,1,1,1,WhyNot,Zarya,Killed,INTERNETHULK,Lucio,Ilios,Ruins,,,,,,,,,
KF-28,1,1,1,EasyBro,Genji,Killed,chipshajen,Ana,Ilios,Ruins,,,,,,,,,
KF-29,1,1,1,OneFact,Tracer,Killed,harryhook,Soldier:76,Ilios,Ruins,,,,,,,,,
KF-30,1,1,1,OneFact,Tracer,Killed,Taimou,McCree,Ilios,Ruins,,,,,,,,,
