Name,Battle.net,Real name,Country,Team,Skill Rating,Most played #1,# Games 1,Most played #2,# Games 2,Most played #3,# Games 3,Total Games,Offence hours,Tank hours,Support hours,Defense hours,,,,,,,,,,,,,,
sylph,,Choi Sung Sik,KR,MVP Infinity,2130,Lucio,194,Ana,93,Mei,29,378,70,5,3,1,,,,,,,,,,,,,,
Brek,,Son Yong Ha,KR,MVP Infinity,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
OneFact,,Kim Jin Heung,KR,MVP Infinity,4441,Soldier:76,29 games,Roadhog,21 games,McCree,4 games,65,7,5,1,0,,,,,,,,,,,,,,
WhyNot,,Lee Ju Hyub,KR,MVP Infinity,2235,D.Va,61,Zenyatta,52,Lucio,37,270,24,21,4,1,,,,,,,,,,,,,,
Undine,,-,KR,MVP Infinity,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
EasyBro,,-,KR,MVP Infinity,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
chipshajen,,Sebastian Widlund,SE,EnVyUs,4370,Ana,129,McCree,26,Zenyatta,16,206,30,7,2,1,,,,,,,,,,,,,,
harryhook,,Jonathan Tejedor Rua,ES,EnVyUs,4202,Soldier:76,58,McCree,33,Ana,22,176,23,5,4,2,,,,,,,,,,,,,,
INTERNETHULK,,Dennis Hawelka,DE,EnVyUs,4125,Lucio,46,Symmetra,34,Reinhardt,25,207,19,14,5,2,,,,,,,,,,,,,,
cocco,,Christian Jonsson,SE,EnVyUs,4102,Zarya,57,Reinhardt,44,Soldier:76,32,233,23,11,9,3,,,,,,,,,,,,,,
Taimou,,Timo Kettunen,FI,EnVyUs,4119,Zarya,33,Roadhog,31,Genji,30,227,15,17,11,2,,,,,,,,,,,,,,
Mickie,,Pongphop Rattanasangchod,TH,EnVyUs,4378,D.Va,79,Ana,61,Zarya,39,366,30,22,13,8,,,,,,,,,,,,,,
Fl0w3r-Nanohana,,Hwang Yeon o,KR,LuxuryWatch Blue,4378,Soldier:76,27,Ana,12,McCree,11,111,9,4,3,4,,,,,,,,,,,,,,
Gambler,,Heo Jin-woo,KR,LuxuryWatch Blue,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
OWLuna,,Kyeong Ho Jang,KR,LuxuryWatch Blue,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
janus,,Song Jun-hwa,KR,LuxuryWatch Blue,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Mek0,,Kim Tae-hong,KR,LuxuryWatch Blue,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Saebyeolbe,,Park Jong-ryeol,KR,LuxuryWatch Blue,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Mannetens,,Tim Byhlund,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
NevixOW,,Andreas Karlsson,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
Zave,,Kalle Haag Nilsson,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
TviQ,,Kevin Lindstrom,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebbosai,,Sebastian Olsson,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinforce,,Jonathan Larsson,SE,Misfits,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamsu,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
twilight,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz.,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
Oparochi,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
MyungHoon 명훈,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
SleepyBearOW,,,,CONBOX Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,
Gods,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendokusaii,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
Surefour,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
ryb,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
Roolf,,,,Cloud9.gg,,,,,,,,,,,,,,,,,,,,,,,,,,
wakawaka,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERMORE,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
LuffyOW,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
BlingOW,,,,KongDoo Panthera,,,,,,,,,,,,,,,,,,,,,,,,,,
Vonethil,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
coolmatt69,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
budS,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoop,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
custa,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafficool,,,,fnatic.ow,,,,,,,,,,,,,,,,,,,,,,,,,,
Libero,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoon,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
Nus,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayaplayer,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
AlphaOW,,,,Meta Athena,,,,,,,,,,,,,,,,,,,,,,,,,,
Twinkl,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Alarm,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernar,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny.ow,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Prove,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpe,,,,BK Stars,,,,,,,,,,,,,,,,,,,,,,,,,,
Miro,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
tobi,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
Leetaejun 이태준,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryujehong 류제홍,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
zunba,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
Whoru,,,,Lunatic Hai 루나틱하이,,,,,,,,,,,,,,,,,,,,,,,,,,
attune,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
TakeThis,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
QMain,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
LMan,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVI,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
TyDolla,,,,Afreeca Freecs Red,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubbly-R1bbon,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
birdring,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
DNCE,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
ButcherKR,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
Panker,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid,,,,KongDoo Uncia,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
ArHaN,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
AFAdam,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
Mano,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
ReCry,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
DongHyuN,,,,Afreeca Freecs Blue,,,,,,,,,,,,,,,,,,,,,,,,,,
Runner-,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
Shine.-,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
Haksal-,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
KAISER-,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
Kox,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
StitchOW,,,,RunAway,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisu,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeso,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleta,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
Veil,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
Unis,,,,Flash Lux,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
